Year,0to19,20to29,30to39,40to49,50to59,60to69,70to79,80to89,90andMore
1988,0,2,4,12,38,63,102,78,27
1989,2,3,3,11,28,58,90,90,26
1990,1,2,4,10,24,52,80,73,29
1991,0,1,4,15,31,50,52,81,28
1992,3,1,6,16,29,60,83,85,27
1993,4,1,2,13,32,77,92,90,18
1994,2399,4084,6144,9486,16106,30333,41010,55945,3655
1995,3718,6379,10994,22913,45133,92937,167966,195154,53464
1996,9985,14528,33301,77678,139162,256976,381752,381933,100908
1997,11530,16560,37117,87795,160655,306059,459963,489551,132506
1998,13147,18213,43209,105926,200554,404233,670446,754028,243380
1999,16419,22290,57815,157545,304007,610387,1108039,1257567,484937
2000,27684,25764,62946,175980,340416,662428,1207210,1384591,535290
2001,27610,25049,63061,180068,364412,699114,1331341,1574948,629599
2002,26663,25724,64601,185026,375375,700410,1340210,1626714,669852
2003,24092,23390,57419,167530,349551,648468,1289076,1676847,726255
2004,24192,21727,53317,161338,341929,627604,1233305,1595456,708435
2005,23458,21737,53393,160959,352519,623912,1234905,1635581,725622
2006,25323,25268,58357,169878,376071,628330,1219498,1655408,730011
2007,27289,25770,59183,170743,380932,636658,1217619,1730010,732182
2008,28760,25830,58547,167098,377696,630335,1181990,1764034,729365
2009,29036,27357,61909,175608,400535,669922,1228310,1841608,722527
2010,29243,28540,62547,175094,400928,673903,1217899,1866341,767593
2011,27215,27047,59855,168773,393010,664126,1172931,1820142,787157
2012,26640,23254,52776,151192,368690,644956,1189000,1780863,818458
2013,25219,22622,53846,154352,382156,670430,1199326,1820636,849929
2014,29355,27231,63408,171946,417810,733302,1196417,1891284,912271
2015,28637,23209,55097,151248,380098,704593,1163364,1865094,967966
2016,26405,21568,51642,142947,367914,702109,1107188,1869690,907160
2017,23219,17183,42379,115290,296263,576252,906966,1588480,747064
2018,19052,10225,25759,68801,174311,357428,555347,970668,347745
2019,18994,7307,14946,33294,81346,149984,202270,243198,92042
