Year,name,norm,code
1998,brazil,13797,BRA
1998,british virgin islands,15882,VGB
1998,cayman islands,19230,CYM
1998,chile,13728,CHL
1998,colombia,13416,COL
1998,costa rica,14362,CRI
1998,croatia,25832,HRV
1998,czech republic,27571,CZE
1998,denmark,18314,DNK
1998,dominican republic,15517,DOM
1998,ecuador,10940,ECU
1998,el salvador,6881,SLV
1998,estonia,27306,EST
1998,finland,21879,FIN
1998,georgia,35446,GEO
1998,germany,24132,DEU
1998,hungary,25698,HUN
1998,iceland,20318,ISL
1998,israel,17909,ISR
1998,japan,15999,JPN
1998,kuwait,20225,KWT
1998,latvia,27766,LVA
1998,lithuania,27342,LTU
1998,luxembourg,20371,LUX
1998,malta,21911,MLT
1998,mexico,11212,MEX
1998,montserrat,14912,MSR
1998,netherlands,18120,NLD
1998,netherlands antilles,17068,ANT
1998,nicaragua,10417,NIC
1998,norway,21803,NOR
1998,panama,12573,PAN
1998,paraguay,12966,PRY
1998,republic of korea,11821,PRK
1998,republic of moldova,26335,MDA
1998,saint kitts and nevis,17926,KNA
1998,saint lucia,17875,LCA
1998,serbia,28848,SRB
1998,"serbia and montenegro, former",28469,SCG
1998,slovakia,27906,SVK
1998,slovenia,20712,SVL
1998,south africa,8844,ZAF
1998,suriname,15630,SUR
1998,sweden,24025,SWE
1998,switzerland,20332,CHE
1998,thailand,8433,THA
1998,turks and caicos islands,15555,TCA
1998,uruguay,17512,URY
1998,venezuela,15495,VEN
1999,antigua and barbuda,19200,ATG
1999,argentina,17083,ARG
1999,aruba,18659,ABW
1999,australia,20011,AUS
1999,bahamas,13777,BHS
1999,bahrain,14713,BHR
1999,belgium,17697,BEL
1999,belize,12657,BLZ
1999,bermuda,19469,BMU
1999,brazil,13698,BRA
1999,british virgin islands,19801,VGB
1999,cayman islands,21484,CYM
1999,chile,13861,CHL
1999,colombia,13703,COL
1999,costa rica,15207,CRI
1999,croatia,26057,HRV
1999,czech republic,27460,CZE
1999,denmark,18271,DNK
1999,dominican republic,15142,DOM
1999,ecuador,11154,ECU
1999,el salvador,9680,SLV
1999,estonia,27376,EST
1999,finland,21775,FIN
1999,georgia,35568,GEO
1999,germany,23993,DEU
1999,haiti,4145,HTI
1999,hungary,25603,HUN
1999,iceland,20831,ISL
1999,israel,15602,ISR
1999,japan,15752,JPN
1999,kiribati,7477,KIR
1999,kuwait,20461,KWT
1999,latvia,27606,LVA
1999,lithuania,27376,LTU
1999,luxembourg,20293,LUX
1999,malta,23926,MLT
1999,mexico,11109,MEX
1999,montserrat,15254,MSR
1999,netherlands,17650,NLD
1999,netherlands antilles,16224,ANT
1999,nicaragua,11709,NIC
1999,norway,21323,NOR
1999,panama,12854,PAN
1999,paraguay,12466,PRY
1999,peru,7009,PER
1999,philippines,14482,PHL
1999,poland,23789,POL
1999,puerto rico,15301,PRI
1999,republic of korea,11671,PRK
1999,republic of moldova,27506,MDA
1999,romania,31197,ROU
1999,saint kitts and nevis,20588,KNA
1999,saint lucia,18462,LCA
1999,serbia,28588,SRB
1999,"serbia and montenegro, former",28328,SCG
1999,slovakia,27285,SVK
1999,slovenia,20299,SVL
1999,south africa,8654,ZAF
1999,spain,17754,ESP
1999,suriname,14137,SUR
1999,sweden,23430,SWE
1999,switzerland,20359,CHE
1999,thailand,5830,THA
1999,trinidad and tobago,19292,TTO
1999,turks and caicos islands,16250,TCA
1999,united states of america,19953,USA
1999,uruguay,16878,URY
1999,venezuela,15311,VEN
1999,virgin islands (usa),18057,VIR
2000,anguilla,23611,AIA
2000,antigua and barbuda,16831,ATG
2000,argentina,16508,ARG
2000,aruba,24230,ABW
2000,australia,19347,AUS
2000,bahamas,14092,BHS
2000,bahrain,13207,BHR
2000,barbados,16858,BRB
2000,belgium,18147,BEL
2000,belize,20273,BLZ
2000,bermuda,20900,BMU
2000,bolivia,3861,BOL
2000,brazil,13765,BRA
2000,british virgin islands,16489,VGB
2000,canada,17523,CAN
2000,cayman islands,20072,CYM
2000,chile,13928,CHL
2000,colombia,13778,COL
2000,costa rica,15855,CRI
2000,croatia,26581,HRV
2000,czech republic,26693,CZE
2000,denmark,17995,DNK
2000,dominican republic,14119,DOM
2000,ecuador,11031,ECU
2000,egypt,19124,EGY
2000,el salvador,9823,SLV
2000,estonia,27120,EST
2000,finland,21695,FIN
2000,france,15250,FRA
2000,georgia,35970,GEO
2000,germany,23548,DEU
2000,guadeloupe,14510,GLP
2000,hungary,25395,HUN
2000,iceland,19611,ISL
2000,israel,15666,ISR
2000,jamaica,15672,JAM
2000,japan,15511,JPN
2000,kiribati,5860,KIR
2000,kuwait,19978,KWT
2000,kyrgyzstan,22585,KGZ
2000,latvia,27737,LVA
2000,lithuania,26889,LTU
2000,luxembourg,19514,LUX
2000,malaysia,13919,MYS
2000,maldives,2208,MDV
2000,malta,23343,MLT
2000,martinique,15768,MTQ
2000,mexico,11156,MEX
2000,montenegro,26903,MNE
2000,montserrat,12500,MSR
2000,morocco,8928,MAR
2000,netherlands,17502,NLD
2000,netherlands antilles,17972,ANT
2000,new zealand,20435,NZL
2000,nicaragua,12479,NIC
2000,norway,20663,NOR
2000,panama,12635,PAN
2000,paraguay,11882,PRY
2000,peru,8237,PER
2000,philippines,14810,PHL
2000,poland,23830,POL
2000,puerto rico,14655,PRI
2000,republic of korea,11824,PRK
2000,republic of moldova,27893,MDA
2000,romania,30765,ROU
2000,saint kitts and nevis,21763,KNA
2000,saint lucia,15525,LCA
2000,saint vincent and grenadines,15335,VCT
2000,serbia,27920,SRB
2000,"serbia and montenegro, former",27942,SCG
2000,slovakia,27390,SVK
2000,slovenia,20185,SVL
2000,south africa,8499,ZAF
2000,spain,17442,ESP
2000,suriname,14755,SUR
2000,sweden,23138,SWE
2000,switzerland,19913,CHE
2000,thailand,4421,THA
2000,trinidad and tobago,18558,TTO
2000,turks and caicos islands,16417,TCA
2000,"united kingdom, scotland",20464,GBR
2000,united states of america,19587,USA
2000,uruguay,16819,URY
2000,venezuela,15119,VEN
2000,virgin islands (usa),20904,VIR
2001,anguilla,20192,AIA
2001,antigua and barbuda,16991,ATG
2001,argentina,16432,ARG
2001,aruba,15138,ABW
2001,australia,19250,AUS
2001,bahamas,14498,BHS
2001,bahrain,14249,BHR
2001,barbados,16384,BRB
2001,belgium,17851,BEL
2001,belize,11498,BLZ
2001,bermuda,20134,BMU
2001,bolivia,4097,BOL
2001,brazil,13697,BRA
2001,british virgin islands,18556,VGB
2001,canada,17039,CAN
2001,cayman islands,19402,CYM
2001,chile,13841,CHL
2001,colombia,13360,COL
2001,costa rica,15644,CRI
2001,croatia,26781,HRV
2001,cuba,20903,CUB
2001,czech republic,26636,CZE
2001,denmark,18108,DNK
2001,dominica,17450,DMA
2001,dominican republic,14031,DOM
2001,ecuador,11183,ECU
2001,egypt,19814,EGY
2001,el salvador,9396,SLV
2001,estonia,26793,EST
2001,fiji,24609,FJI
2001,finland,21428,FIN
2001,france,15078,FRA
2001,french guiana,9015,GUF
2001,georgia,36016,GEO
2001,germany,23639,DEU
2001,grenada,17161,GRD
2001,guadeloupe,14551,GLP
2001,guyana,15446,GUY
2001,haiti,6511,HTI
2001,hong kong sar,12682,HKG
2001,hungary,25503,HUN
2001,iceland,19768,ISL
2001,israel,15549,ISR
2001,jamaica,14220,JAM
2001,japan,15464,JPN
2001,kiribati,6461,KIR
2001,kuwait,20073,KWT
2001,kyrgyzstan,23342,KGZ
2001,latvia,27943,LVA
2001,lithuania,27066,LTU
2001,luxembourg,19793,LUX
2001,malaysia,13957,MYS
2001,maldives,15388,MDV
2001,malta,21856,MLT
2001,martinique,14679,MTQ
2001,mexico,11250,MEX
2001,montenegro,26440,MNE
2001,montserrat,18000,MSR
2001,morocco,9047,MAR
2001,netherlands,16969,NLD
2001,new zealand,20317,NZL
2001,nicaragua,12608,NIC
2001,norway,20315,NOR
2001,panama,13104,PAN
2001,paraguay,11809,PRY
2001,peru,9046,PER
2001,philippines,15195,PHL
2001,poland,23926,POL
2001,puerto rico,15050,PRI
2001,qatar,18801,QAT
2001,republic of korea,11911,PRK
2001,republic of moldova,28000,MDA
2001,reunion,15182,REU
2001,romania,30669,ROU
2001,saint kitts and nevis,23333,KNA
2001,saint lucia,14747,LCA
2001,saint vincent and grenadines,16291,VCT
2001,serbia,27647,SRB
2001,"serbia and montenegro, former",27585,SCG
2001,slovakia,27513,SVK
2001,slovenia,19494,SVL
2001,south africa,8051,ZAF
2001,spain,17269,ESP
2001,suriname,14007,SUR
2001,sweden,22756,SWE
2001,switzerland,19702,CHE
2001,trinidad and tobago,18250,TTO
2001,turks and caicos islands,13793,TCA
2001,united kingdom,19919,GBR
2001,"united kingdom, england and wales",19933,GBR
2001,"united kingdom, northern ireland",20081,GBR
2001,"united kingdom, scotland",19750,GBR
2001,united states of america,19181,USA
2001,uruguay,16776,URY
2001,venezuela,15235,VEN
2001,virgin islands (usa),18760,VIR
2002,anguilla,15789,AIA
2002,antigua and barbuda,16554,ATG
2002,argentina,16291,ARG
2002,aruba,17251,ABW
2002,australia,18781,AUS
2002,austria,24238,AUT
2002,bahamas,15489,BHS
2002,bahrain,14250,BHR
2002,barbados,15803,BRB
2002,belgium,17695,BEL
2002,belize,11721,BLZ
2002,bermuda,15909,BMU
2002,bolivia,4948,BOL
2002,brazil,13607,BRA
2002,british virgin islands,20526,VGB
2002,canada,16687,CAN
2002,cayman islands,19166,CYM
2002,chile,13845,CHL
2002,colombia,13450,COL
2002,costa rica,15052,CRI
2002,croatia,26397,HRV
2002,cuba,20619,CUB
2002,czech republic,26399,CZE
2002,denmark,17506,DNK
2002,dominica,16666,DMA
2002,dominican republic,14187,DOM
2002,ecuador,11596,ECU
2002,egypt,20426,EGY
2002,el salvador,9775,SLV
2002,estonia,27194,EST
2002,fiji,21747,FJI
2002,finland,21394,FIN
2002,france,14771,FRA
2002,french guiana,11210,GUF
2002,germany,23392,DEU
2002,grenada,17736,GRD
2002,guadeloupe,15027,GLP
2002,guyana,15230,GUY
2002,haiti,7822,HTI
2002,hong kong sar,12969,HKG
2002,hungary,25530,HUN
2002,iceland,20444,ISL
2002,israel,14974,ISR
2002,jamaica,13416,JAM
2002,japan,15426,JPN
2002,kuwait,19702,KWT
2002,kyrgyzstan,23814,KGZ
2002,latvia,27984,LVA
2002,lithuania,27185,LTU
2002,luxembourg,19608,LUX
2002,malaysia,13754,MYS
2002,maldives,14279,MDV
2002,malta,22038,MLT
2002,martinique,15251,MTQ
2002,mexico,11350,MEX
2002,montenegro,24541,MNE
2002,montserrat,19318,MSR
2002,morocco,8792,MAR
2002,netherlands,16856,NLD
2002,new zealand,20106,NZL
2002,nicaragua,12714,NIC
2002,norway,19866,NOR
2002,panama,13043,PAN
2002,paraguay,10922,PRY
2002,peru,8968,PER
2002,philippines,15107,PHL
2002,poland,23547,POL
2002,portugal,19215,PRT
2002,puerto rico,14510,PRI
2002,republic of korea,12485,PRK
2002,republic of moldova,28336,MDA
2002,reunion,15158,REU
2002,romania,31030,ROU
2002,saint kitts and nevis,21813,KNA
2002,saint lucia,13510,LCA
2002,saint vincent and grenadines,16535,VCT
2002,serbia,27608,SRB
2002,"serbia and montenegro, former",27452,SCG
2002,slovakia,27162,SVK
2002,slovenia,19164,SVL
2002,south africa,7658,ZAF
2002,spain,17063,ESP
2002,suriname,14868,SUR
2002,sweden,22289,SWE
2002,switzerland,19215,CHE
2002,thailand,4320,THA
2002,trinidad and tobago,18469,TTO
2002,turks and caicos islands,12790,TCA
2002,united kingdom,19598,GBR
2002,"united kingdom, england and wales",19605,GBR
2002,"united kingdom, northern ireland",19635,GBR
2002,"united kingdom, scotland",19523,GBR
2002,united states of america,18894,USA
2002,uruguay,16443,URY
2002,venezuela,14756,VEN
2002,virgin islands (usa),19286,VIR
2003,anguilla,14285,AIA
2003,antigua and barbuda,20399,ATG
2003,argentina,15740,ARG
2003,aruba,17786,ABW
2003,australia,18440,AUS
2003,austria,22610,AUT
2003,bahamas,15281,BHS
2003,bahrain,15567,BHR
2003,barbados,15955,BRB
2003,belgium,17450,BEL
2003,belize,12725,BLZ
2003,bermuda,15148,BMU
2003,bolivia,5075,BOL
2003,brazil,13671,BRA
2003,british virgin islands,18269,VGB
2003,canada,16415,CAN
2003,cayman islands,16911,CYM
2003,chile,14204,CHL
2003,colombia,14094,COL
2003,costa rica,14218,CRI
2003,croatia,26506,HRV
2003,cuba,20426,CUB
2003,czech republic,26087,CZE
2003,denmark,17286,DNK
2003,dominica,16427,DMA
2003,dominican republic,14996,DOM
2003,ecuador,11791,ECU
2003,egypt,20438,EGY
2003,el salvador,9528,SLV
2003,estonia,27412,EST
2003,fiji,20152,FJI
2003,finland,21184,FIN
2003,france,14466,FRA
2003,french guiana,11095,GUF
2003,germany,23222,DEU
2003,grenada,16748,GRD
2003,guadeloupe,14669,GLP
2003,guyana,16937,GUY
2003,haiti,8806,HTI
2003,hong kong sar,13226,HKG
2003,hungary,25419,HUN
2003,iceland,20016,ISL
2003,israel,14724,ISR
2003,italy,20526,ITA
2003,jamaica,15716,JAM
2003,japan,15389,JPN
2003,kuwait,20445,KWT
2003,kyrgyzstan,23556,KGZ
2003,latvia,28062,LVA
2003,lithuania,27195,LTU
2003,luxembourg,19618,LUX
2003,malaysia,13219,MYS
2003,maldives,20974,MDV
2003,malta,21728,MLT
2003,martinique,14649,MTQ
2003,mexico,11426,MEX
2003,montenegro,25184,MNE
2003,montserrat,16363,MSR
2003,morocco,9027,MAR
2003,netherlands,16536,NLD
2003,new zealand,19748,NZL
2003,nicaragua,12940,NIC
2003,norway,19533,NOR
2003,panama,13069,PAN
2003,paraguay,10703,PRY
2003,peru,9142,PER
2003,philippines,15083,PHL
2003,poland,23586,POL
2003,portugal,18797,PRT
2003,puerto rico,14619,PRI
2003,republic of korea,12269,PRK
2003,republic of moldova,28491,MDA
2003,reunion,14872,REU
2003,romania,31065,ROU
2003,saint kitts and nevis,22237,KNA
2003,saint lucia,15711,LCA
2003,saint vincent and grenadines,16795,VCT
2003,serbia,27598,SRB
2003,slovakia,26934,SVK
2003,slovenia,18860,SVL
2003,south africa,7439,ZAF
2003,spain,16862,ESP
2003,suriname,15968,SUR
2003,sweden,22163,SWE
2003,switzerland,18942,CHE
2003,thailand,5218,THA
2003,trinidad and tobago,18131,TTO
2003,turks and caicos islands,14516,TCA
2003,united kingdom,19049,GBR
2003,"united kingdom, england and wales",19071,GBR
2003,"united kingdom, northern ireland",18835,GBR
2003,"united kingdom, scotland",18899,GBR
2003,united states of america,18526,USA
2003,uruguay,16789,URY
2003,venezuela,14579,VEN
2003,virgin islands (usa),18858,VIR
2004,anguilla,14583,AIA
2004,antigua and barbuda,17123,ATG
2004,argentina,15473,ARG
2004,aruba,18137,ABW
2004,australia,17966,AUS
2004,austria,21863,AUT
2004,bahamas,17190,BHS
2004,bahrain,13428,BHR
2004,barbados,14437,BRB
2004,belgium,17433,BEL
2004,belize,11825,BLZ
2004,bermuda,19471,BMU
2004,brazil,13941,BRA
2004,british virgin islands,16806,VGB
2004,canada,16052,CAN
2004,cayman islands,14506,CYM
2004,chile,14086,CHL
2004,colombia,14365,COL
2004,costa rica,14509,CRI
2004,croatia,25081,HRV
2004,cuba,20222,CUB
2004,cyprus,19263,CYP
2004,czech republic,25678,CZE
2004,denmark,16659,DNK
2004,dominica,17594,DMA
2004,dominican republic,15212,DOM
2004,ecuador,11070,ECU
2004,egypt,21752,EGY
2004,el salvador,9170,SLV
2004,estonia,26581,EST
2004,fiji,19367,FJI
2004,finland,20685,FIN
2004,france,14459,FRA
2004,french guiana,9318,GUF
2004,georgia,32218,GEO
2004,germany,22515,DEU
2004,grenada,17713,GRD
2004,guadeloupe,15587,GLP
2004,guyana,17311,GUY
2004,haiti,9787,HTI
2004,hong kong sar,13592,HKG
2004,hungary,25346,HUN
2004,iceland,20065,ISL
2004,israel,14606,ISR
2004,italy,20027,ITA
2004,jamaica,16972,JAM
2004,japan,15112,JPN
2004,kuwait,20070,KWT
2004,kyrgyzstan,23096,KGZ
2004,latvia,27926,LVA
2004,lithuania,27250,LTU
2004,luxembourg,19494,LUX
2004,malaysia,12962,MYS
2004,maldives,9182,MDV
2004,malta,20923,MLT
2004,martinique,14884,MTQ
2004,mexico,11375,MEX
2004,montenegro,25929,MNE
2004,montserrat,23214,MSR
2004,morocco,9137,MAR
2004,netherlands,16344,NLD
2004,new zealand,19718,NZL
2004,nicaragua,12930,NIC
2004,norway,19223,NOR
2004,panama,13481,PAN
2004,paraguay,12069,PRY
2004,peru,9061,PER
2004,poland,23199,POL
2004,puerto rico,14345,PRI
2004,qatar,9428,QAT
2004,republic of korea,11899,PRK
2004,republic of moldova,28265,MDA
2004,reunion,15708,REU
2004,romania,30756,ROU
2004,saint kitts and nevis,20454,KNA
2004,saint lucia,13691,LCA
2004,saint vincent and grenadines,14904,VCT
2004,serbia,27256,SRB
2004,slovakia,27047,SVK
2004,slovenia,19195,SVL
2004,south africa,6965,ZAF
2004,spain,16651,ESP
2004,sri lanka,11686,LKA
2004,suriname,16337,SUR
2004,sweden,21439,SWE
2004,switzerland,18653,CHE
2004,thailand,5024,THA
2004,trinidad and tobago,17823,TTO
2004,turks and caicos islands,13636,TCA
2004,united kingdom,18544,GBR
2004,"united kingdom, england and wales",18549,GBR
2004,"united kingdom, northern ireland",18364,GBR
2004,"united kingdom, scotland",18542,GBR
2004,united states of america,18056,USA
2004,uruguay,16503,URY
2004,uzbekistan,27337,UZB
2004,venezuela,14897,VEN
2004,virgin islands (usa),18690,VIR
2005,anguilla,11607,AIA
2005,antigua and barbuda,19529,ATG
2005,argentina,15273,ARG
2005,aruba,14154,ABW
2005,austria,21702,AUT
2005,bahamas,16310,BHS
2005,bahrain,11896,BHR
2005,barbados,14043,BRB
2005,belgium,16806,BEL
2005,belize,11468,BLZ
2005,bermuda,17780,BMU
2005,brazil,14099,BRA
2005,bulgaria,33046,BGR
2005,canada,15588,CAN
2005,cayman islands,16772,CYM
2005,chile,14105,CHL
2005,colombia,14778,COL
2005,costa rica,14646,CRI
2005,croatia,25129,HRV
2005,cuba,20510,CUB
2005,cyprus,19585,CYP
2005,czech republic,25549,CZE
2005,denmark,16119,DNK
2005,dominica,16053,DMA
2005,dominican republic,15724,DOM
2005,ecuador,11221,ECU
2005,egypt,22359,EGY
2005,el salvador,8932,SLV
2005,estonia,26654,EST
2005,fiji,19884,FJI
2005,finland,20694,FIN
2005,france,14202,FRA
2005,french guiana,10270,GUF
2005,georgia,33750,GEO
2005,germany,22124,DEU
2005,grenada,18860,GRD
2005,guadeloupe,14742,GLP
2005,guatemala,6161,GTM
2005,guyana,16762,GUY
2005,hong kong sar,13103,HKG
2005,hungary,26131,HUN
2005,iceland,17855,ISL
2005,israel,14298,ISR
2005,italy,20079,ITA
2005,jamaica,13139,JAM
2005,japan,15200,JPN
2005,kuwait,20401,KWT
2005,kyrgyzstan,23669,KGZ
2005,latvia,27572,LVA
2005,lithuania,27195,LTU
2005,luxembourg,19692,LUX
2005,malaysia,13190,MYS
2005,maldives,2914,MDV
2005,malta,22172,MLT
2005,martinique,13202,MTQ
2005,mauritius,18665,MUS
2005,mexico,11308,MEX
2005,montenegro,26425,MNE
2005,montserrat,24576,MSR
2005,netherlands,15890,NLD
2005,new zealand,19352,NZL
2005,nicaragua,12541,NIC
2005,norway,17662,NOR
2005,panama,14365,PAN
2005,paraguay,12179,PRY
2005,peru,9376,PER
2005,poland,22839,POL
2005,puerto rico,14117,PRI
2005,qatar,10019,QAT
2005,republic of korea,11534,PRK
2005,republic of moldova,28156,MDA
2005,reunion,15051,REU
2005,rodrigues,20982,MU-RO
2005,romania,31094,ROU
2005,saint kitts and nevis,18679,KNA
2005,saint lucia,16402,LCA
2005,saint pierre and miquelon,19811,SPM
2005,saint vincent and grenadines,16871,VCT
2005,serbia,28417,SRB
2005,slovakia,27161,SVK
2005,slovenia,20313,SVL
2005,south africa,6648,ZAF
2005,spain,16381,ESP
2005,sri lanka,10491,LKA
2005,suriname,16767,SUR
2005,sweden,21040,SWE
2005,switzerland,18700,CHE
2005,thailand,4650,THA
2005,trinidad and tobago,17339,TTO
2005,turks and caicos islands,13207,TCA
2005,united kingdom,17902,GBR
2005,"united kingdom, england and wales",17901,GBR
2005,"united kingdom, northern ireland",17582,GBR
2005,"united kingdom, scotland",17991,GBR
2005,united states of america,17582,USA
2005,uruguay,16182,URY
2005,uzbekistan,28137,UZB
2005,venezuela,15048,VEN
2005,virgin islands (usa),19683,VIR
2006,anguilla,11818,AIA
2006,antigua and barbuda,18143,ATG
2006,argentina,15334,ARG
2006,armenia,24974,ARM
2006,aruba,17264,ABW
2006,australia,17165,AUS
2006,austria,21864,AUT
2006,bahamas,15231,BHS
2006,bahrain,11415,BHR
2006,barbados,14982,BRB
2006,belgium,16431,BEL
2006,belize,11290,BLZ
2006,bermuda,20088,BMU
2006,brazil,14675,BRA
2006,british virgin islands,15822,VGB
2006,bulgaria,33204,BGR
2006,canada,15130,CAN
2006,cayman islands,12574,CYM
2006,chile,14063,CHL
2006,colombia,14984,COL
2006,costa rica,14422,CRI
2006,croatia,25418,HRV
2006,cuba,20221,CUB
2006,cyprus,19894,CYP
2006,czech republic,25162,CZE
2006,denmark,15367,DNK
2006,dominica,17717,DMA
2006,dominican republic,15920,DOM
2006,ecuador,11436,ECU
2006,egypt,22668,EGY
2006,el salvador,9158,SLV
2006,estonia,26527,EST
2006,fiji,18672,FJI
2006,finland,20766,FIN
2006,france,14095,FRA
2006,french guiana,9022,GUF
2006,georgia,33564,GEO
2006,germany,21844,DEU
2006,grenada,17361,GRD
2006,guadeloupe,14258,GLP
2006,guatemala,7018,GTM
2006,guyana,16885,GUY
2006,hong kong sar,12935,HKG
2006,hungary,25288,HUN
2006,iceland,18812,ISL
2006,israel,13905,ISR
2006,italy,19698,ITA
2006,jamaica,16605,JAM
2006,japan,14974,JPN
2006,kuwait,20945,KWT
2006,kyrgyzstan,23725,KGZ
2006,latvia,26768,LVA
2006,lithuania,27136,LTU
2006,luxembourg,19983,LUX
2006,malaysia,13092,MYS
2006,malta,21284,MLT
2006,martinique,13855,MTQ
2006,mauritius,17960,MUS
2006,mexico,11324,MEX
2006,montenegro,28401,MNE
2006,montserrat,24468,MSR
2006,netherlands,15409,NLD
2006,new zealand,19088,NZL
2006,nicaragua,12395,NIC
2006,north macedonia,29331,MKD
2006,norway,17765,NOR
2006,panama,13288,PAN
2006,paraguay,13388,PRY
2006,peru,9676,PER
2006,philippines,15708,PHL
2006,poland,22793,POL
2006,puerto rico,14114,PRI
2006,qatar,9207,QAT
2006,republic of korea,11575,PRK
2006,republic of moldova,27899,MDA
2006,reunion,14877,REU
2006,rodrigues,17959,MU-RO
2006,romania,31059,ROU
2006,saint kitts and nevis,18817,KNA
2006,saint lucia,15863,LCA
2006,saint pierre and miquelon,14583,SPM
2006,saint vincent and grenadines,16384,VCT
2006,serbia,28636,SRB
2006,slovakia,27399,SVK
2006,slovenia,19873,SVL
2006,south africa,6835,ZAF
2006,spain,16253,ESP
2006,sri lanka,12460,LKA
2006,suriname,15681,SUR
2006,sweden,21066,SWE
2006,switzerland,18572,CHE
2006,thailand,4358,THA
2006,trinidad and tobago,17575,TTO
2006,turks and caicos islands,14666,TCA
2006,united kingdom,17325,GBR
2006,"united kingdom, england and wales",17373,GBR
2006,"united kingdom, northern ireland",16787,GBR
2006,"united kingdom, scotland",17035,GBR
2006,united states of america,17057,USA
2006,uruguay,15773,URY
2006,venezuela,15110,VEN
2006,virgin islands (usa),17708,VIR
2007,antigua and barbuda,16425,ATG
2007,argentina,15113,ARG
2007,armenia,25165,ARM
2007,aruba,15018,ABW
2007,australia,17031,AUS
2007,austria,22019,AUT
2007,azerbaijan,27403,AZE
2007,bahamas,15656,BHS
2007,bahrain,13524,BHR
2007,barbados,15304,BRB
2007,belgium,16315,BEL
2007,belize,11675,BLZ
2007,bermuda,21923,BMU
2007,brazil,14719,BRA
2007,bulgaria,32910,BGR
2007,canada,14844,CAN
2007,cayman islands,16118,CYM
2007,chile,14030,CHL
2007,colombia,14988,COL
2007,costa rica,14763,CRI
2007,croatia,25307,HRV
2007,cuba,19922,CUB
2007,cyprus,19442,CYP
2007,czech republic,25069,CZE
2007,denmark,14509,DNK
2007,dominica,18165,DMA
2007,dominican republic,17120,DOM
2007,ecuador,11513,ECU
2007,egypt,22428,EGY
2007,el salvador,8743,SLV
2007,estonia,26012,EST
2007,fiji,17369,FJI
2007,finland,20687,FIN
2007,france,13954,FRA
2007,french guiana,9730,GUF
2007,georgia,33458,GEO
2007,germany,21681,DEU
