Year,name,norm,code
1988,netherlands antilles,16786,ANT
1989,netherlands antilles,16130,ANT
1990,netherlands antilles,14816,ANT
1991,netherlands antilles,14768,ANT
1992,netherlands antilles,15285,ANT
1993,netherlands antilles,15771,ANT
1994,czech republic,27745,CZE
1994,denmark,20072,DNK
1994,netherlands antilles,14840,ANT
1994,slovakia,27173,SVK
1994,thailand,8496,THA
1995,croatia,25071,HRV
1995,czech republic,27965,CZE
1995,denmark,19840,DNK
1995,japan,16528,JPN
1995,kuwait,18685,KWT
1995,malta,21436,MLT
1995,montserrat,20000,MSR
1995,netherlands antilles,13573,ANT
1995,qatar,17000,QAT
1995,republic of korea,13048,PRK
1995,slovakia,27447,SVK
1995,suriname,14136,SUR
1995,switzerland,20652,CHE
1995,thailand,8661,THA
1996,bermuda,21797,BMU
1996,brazil,13731,BRA
1996,british virgin islands,18181,VGB
1996,croatia,25194,HRV
1996,czech republic,27994,CZE
1996,denmark,18563,DNK
1996,dominican republic,15036,DOM
1996,finland,22419,FIN
1996,hungary,25843,HUN
1996,iceland,20596,ISL
1996,japan,16548,JPN
1996,kuwait,18494,KWT
1996,latvia,27766,LVA
1996,malta,22929,MLT
1996,montserrat,17187,MSR
1996,netherlands,18649,NLD
1996,netherlands antilles,17280,ANT
1996,norway,22197,NOR
1996,paraguay,15893,PRY
1996,republic of korea,12214,PRK
1996,republic of moldova,24927,MDA
1996,saint lucia,17738,LCA
1996,slovakia,27173,SVK
1996,south africa,10389,ZAF
1996,suriname,14824,SUR
1996,switzerland,20557,CHE
1996,thailand,9202,THA
1996,turks and caicos islands,22535,TCA
1996,venezuela,15540,VEN
1997,argentina,17257,ARG
1997,bahrain,17069,BHR
1997,belize,12851,BLZ
1997,bermuda,18665,BMU
1997,brazil,13814,BRA
1997,british virgin islands,21808,VGB
1997,chile,13201,CHL
1997,colombia,14016,COL
1997,costa rica,14330,CRI
1997,croatia,25168,HRV
1997,czech republic,28087,CZE
1997,denmark,18457,DNK
1997,dominican republic,14950,DOM
1997,ecuador,10104,ECU
1997,el salvador,6543,SLV
1997,estonia,27100,EST
1997,finland,22051,FIN
1997,haiti,5615,HTI
1997,hungary,25570,HUN
1997,iceland,20564,ISL
1997,japan,16260,JPN
1997,kuwait,19056,KWT
1997,latvia,27766,LVA
1997,malta,22991,MLT
1997,montserrat,21875,MSR
1997,netherlands,18322,NLD
1997,netherlands antilles,17305,ANT
1997,nicaragua,11612,NIC
1997,norway,21861,NOR
1997,paraguay,11744,PRY
1997,republic of korea,11580,PRK
1997,republic of moldova,26484,MDA
1997,saint lucia,18312,LCA
1997,"serbia and montenegro, former",28395,SCG
1997,slovakia,27325,SVK
1997,slovenia,19877,SVL
1997,south africa,9285,ZAF
1997,suriname,14550,SUR
1997,sweden,24112,SWE
1997,switzerland,20669,CHE
1997,thailand,9817,THA
1997,turks and caicos islands,15000,TCA
1997,uruguay,17388,URY
1997,venezuela,15518,VEN
1998,antigua and barbuda,20066,ATG
1998,argentina,17136,ARG
1998,australia,20360,AUS
1998,bahrain,13820,BHR
1998,belgium,17994,BEL
1998,belize,12925,BLZ
1998,bermuda,18786,BMU
